fileName,maxDistence,minDistence,maxRating,minRating,webpullstatus,CategoryAlias,City,Latitude,Longitude,MaxQtyVotes,MinQtyVotes,PotentialMatches
BusinessSearchResults--London England--fitness.json,3.9134121653432114E+04,1.081454542286485E+04,4.5E+00,2E+00,200,fitness,London England,5.15072E+01,1.276E-01,74,11,805
BusinessSearchResults--London England--arts.json,3.4242858247985845E+04,8.643181694754147E+03,4.5E+00,3E+00,200,arts,London England,5.15072E+01,1.276E-01,1085,97,2200
BusinessSearchResults--London England--movietheaters.json,2.499670559337736E+04,6.730373781600759E+03,4.5E+00,2.5E+00,200,movietheaters,London England,5.15072E+01,1.276E-01,149,20,178
BusinessSearchResults--London England--museums.json,3.4242858247985845E+04,9.650937050671399E+03,4.5E+00,3E+00,200,museums,London England,5.15072E+01,1.276E-01,1085,25,176
BusinessSearchResults--London England--wineries.json,4.29770756191151E+04,1.0300881202469123E+04,5E+00,1E+00,200,wineries,London England,5.15072E+01,1.276E-01,334,1,37
BusinessSearchResults--London England--social_clubs.json,3.5370744139430404E+04,2.8805104449058745E+03,5E+00,2.5E+00,200,social_clubs,London England,5.15072E+01,1.276E-01,81,4,173
BusinessSearchResults--London England--auto.json,4.38197918814969E+04,6.90647275316224E+03,5E+00,1E+00,200,auto,London England,5.15072E+01,1.276E-01,37,4,1100
BusinessSearchResults--London England--beautysvc.json,2.4710108420026667E+04,1.4049118437509824E+04,5E+00,1E+00,200,beautysvc,London England,5.15072E+01,1.276E-01,74,21,3900
BusinessSearchResults--London England--hair.json,2.18655426022621E+04,1.388696198535865E+04,5E+00,1.5E+00,200,hair,London England,5.15072E+01,1.276E-01,71,14,1600
BusinessSearchResults--London England--othersalons.json,2.6601402099497693E+04,9.963638163199399E+03,4.5E+00,1.5E+00,200,othersalons,London England,5.15072E+01,1.276E-01,71,10,533
BusinessSearchResults--London England--tanning.json,3.9076640337331344E+04,9.78276982041179E+03,5E+00,1E+00,200,tanning,London England,5.15072E+01,1.276E-01,20,2,125
BusinessSearchResults--London England--education.json,2.7062747216507116E+04,9.348706045260975E+03,5E+00,1.5E+00,200,education,London England,5.15072E+01,1.276E-01,59,6,946
BusinessSearchResults--London England--artclasses.json,3.738593231707284E+04,1.35216806404893E+04,5E+00,1E+00,200,artclasses,London England,5.15072E+01,1.276E-01,35,1,11
BusinessSearchResults--London England--specialtyschools.json,3.981515672989102E+04,8.536983066878991E+03,5E+00,1E+00,200,specialtyschools,London England,5.15072E+01,1.276E-01,59,4,434
BusinessSearchResults--London England--eventservices.json,3.984448947604336E+04,8.643181694754147E+03,4.5E+00,2.5E+00,200,eventservices,London England,5.15072E+01,1.276E-01,256,79,2700
BusinessSearchResults--London England--photographers.json,6.3467416169233955E+04,7.348150002860181E+03,5E+00,1E+00,200,photographers,London England,5.15072E+01,1.276E-01,26,2,174
BusinessSearchResults--London England--financialservices.json,4.40085805970483E+04,9.870209260970723E+03,5E+00,1E+00,200,financialservices,London England,5.15072E+01,1.276E-01,17,3,517
BusinessSearchResults--London England--insurance.json,4.46364821189391E+04,1.1847428994094731E+04,5E+00,1E+00,200,insurance,London England,5.15072E+01,1.276E-01,17,1,37
BusinessSearchResults--London England--banks.json,4.429547052241252E+04,6.76762077119616E+03,5E+00,1E+00,200,banks,London England,5.15072E+01,1.276E-01,8,2,289
BusinessSearchResults--London England--health.json,4.332595665493275E+04,6.196651501906407E+03,5E+00,1E+00,200,health,London England,5.15072E+01,1.276E-01,56,8,1800
BusinessSearchResults--London England--c_and_mh.json,3.585842877804297E+04,7.076213976667662E+03,5E+00,1E+00,200,c_and_mh,London England,5.15072E+01,1.276E-01,4,1,81
BusinessSearchResults--London England--dentists.json,3.5141514177916186E+04,4.897528791974651E+03,5E+00,1E+00,200,dentists,London England,5.15072E+01,1.276E-01,56,4,394
BusinessSearchResults--London England--physicians.json,4.253117335555563E+04,2.638795277529679E+03,5E+00,1E+00,200,physicians,London England,5.15072E+01,1.276E-01,9,3,418
BusinessSearchResults--London England--medcenters.json,3.6489998446637015E+04,2.638795277529679E+03,5E+00,1E+00,200,medcenters,London England,5.15072E+01,1.276E-01,8,2,91
BusinessSearchResults--London England--homeservices.json,9.491493186750342E+04,4.220277468823832E+03,5E+00,1E+00,200,homeservices,London England,5.15072E+01,1.276E-01,142,13,3800
BusinessSearchResults--London England--contractors.json,4.1524301637545985E+04,4.797677471443291E+03,5E+00,1E+00,200,contractors,London England,5.15072E+01,1.276E-01,17,3,422
BusinessSearchResults--London England--electricians.json,3.954150562169354E+04,7.80881453942687E+03,5E+00,1E+00,200,electricians,London England,5.15072E+01,1.276E-01,37,1,110
BusinessSearchResults--London England--painters.json,5.0624928095770876E+04,3.625535677915449E+03,5E+00,1E+00,200,painters,London England,5.15072E+01,1.276E-01,8,1,83
BusinessSearchResults--London England--plumbing.json,7.93635654268596E+04,3.6806125320862234E+03,4.5E+00,1E+00,200,plumbing,London England,5.15072E+01,1.276E-01,59,2,190
BusinessSearchResults--London England--hotelstravel.json,4.480951487454626E+04,5.402745179389709E+03,5E+00,2.5E+00,200,hotelstravel,London England,5.15072E+01,1.276E-01,346,91,3700
BusinessSearchResults--London England--tours.json,4.2834314416701054E+04,8.275896442019768E+03,5E+00,1.5E+00,200,tours,London England,5.15072E+01,1.276E-01,346,10,194
BusinessSearchResults--London England--transport.json,4.481373722850715E+04,5.163954562122995E+03,4.5E+00,1E+00,200,transport,London England,5.15072E+01,1.276E-01,219,16,981
BusinessSearchResults--London England--localflavor.json,3.0297657662266276E+04,9.454562724998279E+03,5E+00,1E+00,200,localflavor,London England,5.15072E+01,1.276E-01,521,2,99
BusinessSearchResults--London England--localservices.json,3.0548610528403424E+04,4.220277468823832E+03,5E+00,1E+00,200,localservices,London England,5.15072E+01,1.276E-01,158,17,3100
BusinessSearchResults--London England--massmedia.json,4.457607827547944E+04,7.290126496511002E+03,5E+00,1E+00,200,massmedia,London England,5.15072E+01,1.276E-01,8,2,221
BusinessSearchResults--London England--nightlife.json,2.2311582478308363E+04,8.643181694754147E+03,4.5E+00,3E+00,200,nightlife,London England,5.15072E+01,1.276E-01,928,150,6700
BusinessSearchResults--London England--bars.json,2.2311582478308363E+04,1.4347347904197584E+04,4.5E+00,3E+00,200,bars,London England,5.15072E+01,1.276E-01,928,141,6100
BusinessSearchResults--London England--danceclubs.json,2.2211394475200177E+04,1.1627439578234846E+04,4.5E+00,2E+00,200,danceclubs,London England,5.15072E+01,1.276E-01,198,32,311
BusinessSearchResults--London England--pets.json,4.955962013907767E+04,8.049650364638566E+03,5E+00,1.5E+00,200,pets,London England,5.15072E+01,1.276E-01,80,4,495
BusinessSearchResults--London England--petservices.json,4.955962013907767E+04,1.0278952352148002E+04,5E+00,1E+00,200,petservices,London England,5.15072E+01,1.276E-01,80,3,183
BusinessSearchResults--London England--petstore.json,4.835560497339654E+04,8.635559375810417E+03,5E+00,1E+00,200,petstore,London England,5.15072E+01,1.276E-01,7,3,155
BusinessSearchResults--London England--professional.json,4.3838833414342924E+04,3.2453074058592456E+03,5E+00,1E+00,200,professional,London England,5.15072E+01,1.276E-01,142,7,1500
BusinessSearchResults--London England--lawyers.json,3.9930620425968424E+04,3.9251061903056984E+03,5E+00,1E+00,200,lawyers,London England,5.15072E+01,1.276E-01,17,2,227
BusinessSearchResults--London England--publicservicesgovt.json,4.51948034781163E+04,9.902794012327957E+03,5E+00,3E+00,200,publicservicesgovt,London England,5.15072E+01,1.276E-01,1063,20,826
BusinessSearchResults--London England--realestate.json,3.788211194772216E+04,9.865319750541224E+03,5E+00,1E+00,200,realestate,London England,5.15072E+01,1.276E-01,31,5,947
BusinessSearchResults--London England--realestateagents.json,4.335849190380384E+04,8.246703401928391E+02,5E+00,1E+00,200,realestateagents,London England,5.15072E+01,1.276E-01,16,3,462
BusinessSearchResults--London England--realestatesvcs.json,3.3381255489238036E+04,8.246703401928391E+02,5E+00,1E+00,200,realestatesvcs,London England,5.15072E+01,1.276E-01,25,3,252
BusinessSearchResults--London England--shopping.json,2.4009150312848757E+04,9.870173253622623E+03,4.5E+00,1.5E+00,200,shopping,London England,5.15072E+01,1.276E-01,952,69,9900
BusinessSearchResults--London England--artsandcrafts.json,3.2582374362014467E+04,8.405235135535802E+03,5E+00,2.5E+00,200,artsandcrafts,London England,5.15072E+01,1.276E-01,256,6,568
BusinessSearchResults--London England--media.json,2.4353923502426514E+04,1.3880177295150705E+04,5E+00,3.5E+00,200,media,London England,5.15072E+01,1.276E-01,136,12,742
BusinessSearchResults--London England--fashion.json,2.471935344410905E+04,1.3094773247660638E+04,4.5E+00,1.5E+00,200,fashion,London England,5.15072E+01,1.276E-01,952,20,3000
BusinessSearchResults--London England--flowers.json,2.8424137616861164E+04,1.0699410151136139E+04,5E+00,1E+00,200,flowers,London England,5.15072E+01,1.276E-01,169,6,739
BusinessSearchResults--London England--homeandgarden.json,3.848116082762776E+04,9.057820654666511E+03,4.5E+00,1E+00,200,homeandgarden,London England,5.15072E+01,1.276E-01,464,8,1300
BusinessSearchResults--London England--sportgoods.json,3.1602007720876652E+04,1.2168848430722817E+04,5E+00,1.5E+00,200,sportgoods,London England,5.15072E+01,1.276E-01,153,6,427
BusinessSearchResults--Seattle WA--active.json,1.3013177760917011E+05,6.784936058960462E+02,5E+00,2E+00,200,active,Seattle WA,4.76062E+01,-1.223321E+02,1228,236,3900
BusinessSearchResults--Seattle WA--fitness.json,4.131120195023858E+04,8.654503395063476E+02,5E+00,2E+00,200,fitness,Seattle WA,4.76062E+01,-1.223321E+02,558,115,1700
BusinessSearchResults--Seattle WA--arts.json,3.981187697568647E+04,2.4104670076175285E+02,4.5E+00,2E+00,200,arts,Seattle WA,4.76062E+01,-1.223321E+02,2904,318,1800
BusinessSearchResults--Seattle WA--movietheaters.json,3.9649526578433244E+04,6.280638987040238E+02,4.5E+00,2.5E+00,200,movietheaters,Seattle WA,4.76062E+01,-1.223321E+02,1048,57,71
BusinessSearchResults--Seattle WA--museums.json,4.0944159782648334E+04,4.8490290855264493E+02,5E+00,3E+00,200,museums,Seattle WA,4.76062E+01,-1.223321E+02,2767,17,103
BusinessSearchResults--Seattle WA--wineries.json,3.906880133553267E+04,7.615273942165171E+02,5E+00,3.5E+00,200,wineries,Seattle WA,4.76062E+01,-1.223321E+02,917,45,244
BusinessSearchResults--Seattle WA--social_clubs.json,4.141286267661141E+04,1.1166587526248826E+02,5E+00,2E+00,200,social_clubs,Seattle WA,4.76062E+01,-1.223321E+02,183,2,73
BusinessSearchResults--Seattle WA--auto.json,3.35302406924943E+04,1.4315568989230878E+03,4.5E+00,2E+00,200,auto,Seattle WA,4.76062E+01,-1.223321E+02,971,313,4700
BusinessSearchResults--Seattle WA--beautysvc.json,3.7799543833504766E+04,2.3717826792922995E+02,5E+00,2.5E+00,200,beautysvc,Seattle WA,4.76062E+01,-1.223321E+02,710,316,5800
BusinessSearchResults--Seattle WA--hair.json,3.910444675361248E+04,4.148780792548678E+02,5E+00,3E+00,200,hair,Seattle WA,4.76062E+01,-1.223321E+02,617,209,2100
BusinessSearchResults--Seattle WA--othersalons.json,2.7960414914403515E+04,6.577662076201E+02,5E+00,2.5E+00,200,othersalons,Seattle WA,4.76062E+01,-1.223321E+02,639,240,945
BusinessSearchResults--Seattle WA--tanning.json,4.287518132350669E+04,4.113584064257451E+02,5E+00,2E+00,200,tanning,Seattle WA,4.76062E+01,-1.223321E+02,170,32,136
BusinessSearchResults--Seattle WA--education.json,3.978361616218058E+04,6.599146942291152E+02,5E+00,2.5E+00,200,education,Seattle WA,4.76062E+01,-1.223321E+02,369,57,2200
BusinessSearchResults--Seattle WA--artclasses.json,3.440013532631898E+04,4.508365492214446E+02,5E+00,2.5E+00,200,artclasses,Seattle WA,4.76062E+01,-1.223321E+02,105,8,103
BusinessSearchResults--Seattle WA--specialtyschools.json,3.978361616218058E+04,4.3301809494610427E+02,5E+00,2.5E+00,200,specialtyschools,Seattle WA,4.76062E+01,-1.223321E+02,369,46,666
BusinessSearchResults--Seattle WA--eventservices.json,4.0370468375912795E+04,1.2333065340087448E+02,4.5E+00,2.5E+00,200,eventservices,Seattle WA,4.76062E+01,-1.223321E+02,2191,389,3400
BusinessSearchResults--Seattle WA--photographers.json,2.333775065349438E+05,9.728395969229716E+01,5E+00,1.5E+00,200,photographers,Seattle WA,4.76062E+01,-1.223321E+02,108,25,998
BusinessSearchResults--Seattle WA--financialservices.json,3.5135350485226096E+04,1.3227800193807357E+02,5E+00,1E+00,200,financialservices,Seattle WA,4.76062E+01,-1.223321E+02,292,40,2200
BusinessSearchResults--Seattle WA--insurance.json,3.629088298425424E+04,1.3227800193807357E+02,5E+00,1E+00,200,insurance,Seattle WA,4.76062E+01,-1.223321E+02,163,18,768
BusinessSearchResults--Seattle WA--banks.json,3.295326234355679E+04,2.3191158178801174E+02,4E+00,1.5E+00,200,banks,Seattle WA,4.76062E+01,-1.223321E+02,223,26,728
BusinessSearchResults--Seattle WA--health.json,2.879844703326495E+04,2.8014975279326393E+02,5E+00,2E+00,200,health,Seattle WA,4.76062E+01,-1.223321E+02,378,150,10600
BusinessSearchResults--Seattle WA--c_and_mh.json,4.165860537303506E+04,4.113584064257451E+02,5E+00,1.5E+00,200,c_and_mh,Seattle WA,4.76062E+01,-1.223321E+02,155,13,609
BusinessSearchResults--Seattle WA--dentists.json,4.115558994956725E+04,2.1055714196132558E+02,5E+00,2E+00,200,dentists,Seattle WA,4.76062E+01,-1.223321E+02,163,73,2200
BusinessSearchResults--Seattle WA--physicians.json,4.0907747973259255E+04,6.627372877720003E+02,5E+00,1.5E+00,200,physicians,Seattle WA,4.76062E+01,-1.223321E+02,249,81,3100
BusinessSearchResults--Seattle WA--medcenters.json,4.10585309368947E+04,2.8014975279326393E+02,4E+00,1.5E+00,200,medcenters,Seattle WA,4.76062E+01,-1.223321E+02,283,48,372
BusinessSearchResults--Seattle WA--homeservices.json,4.3432025772128596E+04,1.6756091277993416E+01,5E+00,1E+00,200,homeservices,Seattle WA,4.76062E+01,-1.223321E+02,1234,254,17800
BusinessSearchResults--Seattle WA--contractors.json,3.037515474568416E+05,2.4306674407856694E+00,5E+00,1.5E+00,200,contractors,Seattle WA,4.76062E+01,-1.223321E+02,207,32,2200
BusinessSearchResults--Seattle WA--electricians.json,8.296547255336377E+04,1.1099096267351376E+03,5E+00,1.5E+00,200,electricians,Seattle WA,4.76062E+01,-1.223321E+02,1234,57,486
BusinessSearchResults--Seattle WA--painters.json,5.116748663807813E+04,3.373381806955402E+02,5E+00,2.5E+00,200,painters,Seattle WA,4.76062E+01,-1.223321E+02,160,29,1000
BusinessSearchResults--Seattle WA--plumbing.json,1.536990361417499E+06,4.113584064257451E+02,5E+00,2E+00,200,plumbing,Seattle WA,4.76062E+01,-1.223321E+02,1234,117,748
BusinessSearchResults--Seattle WA--hotelstravel.json,4.0370468375912795E+04,1.2333065340087448E+02,5E+00,1.5E+00,200,hotelstravel,Seattle WA,4.76062E+01,-1.223321E+02,3188,393,1800
BusinessSearchResults--Seattle WA--tours.json,1.1513442238941793E+05,3.967358396879187E+02,5E+00,2.5E+00,200,tours,Seattle WA,4.76062E+01,-1.223321E+02,2136,63,239
BusinessSearchResults--Seattle WA--transport.json,3.813794524648766E+04,9.728395969229716E+01,5E+00,1.5E+00,200,transport,Seattle WA,4.76062E+01,-1.223321E+02,1577,87,630
