,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
93,False,/AaV1YIdWKnjAIAOe8UUKBFm327v.jpg,"[28, 18]",361743,en,Top Gun: Maverick,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",426.884,/62HCnUTziyWcpDaBO2i1DX17ljH.jpg,2022-05-24,Top Gun: Maverick,False,8.3,5076
94,False,/42975nYxawMHta0yoAtwm6ZPy0L.jpg,"[35, 28, 99]",828853,en,Jackass 4.5,"Through outrageous, never-before-seen footage, witness the making of the Jackass crew's last go at wild stunts.",21.942,/bl686OSeMQOvs90IQAgt8QipCsB.jpg,2022-05-20,Jackass 4.5,False,6.5,220
95,False,/utUVo1wt3i4OdrQQS3I9QeegYsM.jpg,"[27, 53, 14]",780609,en,Men,"In the aftermath of a personal tragedy, Harper retreats alone to the beautiful English countryside, hoping to find a place to heal. But someone — or something — from the surrounding woods appears to be stalking her, and what begins as simmering dread becomes a fully-formed nightmare, inhabited by her darkest memories and fears.",152.603,/jo1Kv3P3UgDVk7JnUFr2Cl8WWUM.jpg,2022-05-20,Men,False,6.3,520
96,False,/qK7Ssnrfvrt65F66A1thvehfQg2.jpg,"[16, 10751, 35, 12, 9648]",420821,en,Chip 'n Dale: Rescue Rangers,"Decades since their successful television series was canceled, Chip has succumbed to a life of suburban domesticity as an insurance salesman. Dale, meanwhile, has had CGI surgery and works the nostalgia convention circuit, desperate to relive his glory days. When a former cast mate mysteriously disappears, Chip and Dale must repair their broken friendship and take on their Rescue Rangers detective personas once again to save their friend’s life.",66.879,/7UGmn8TyWPPzkjhLUW58cOUHjPS.jpg,2022-05-20,Chip 'n Dale: Rescue Rangers,False,7.0,880
97,False,/ftGzl2GCyko61Qp161bQElN2Uzd.jpg,"[28, 53]",961484,en,Last Seen Alive,"After Will Spann's wife suddenly vanishes at a gas station, his desperate search to find her leads him down a dark path that forces him to run from authorities and take the law into his own hands.",108.147,/qvqyDj34Uivokf4qIvK4bH0m0qF.jpg,2022-05-19,Last Seen Alive,False,6.6,533
98,False,/6fRVz7ZIZIGFEOq4THY2pdBBhfS.jpg,"[35, 10749]",934761,en,A Perfect Pairing,"To land a major client, an LA wine exec travels to an Australian sheep station, where she signs on as a ranch hand and hits it off with a rugged local.",20.604,/h65lLhYEfRGOWVZzwX9n7vYOixf.jpg,2022-05-19,A Perfect Pairing,False,6.9,381
99,False,/bIFrsAcqkLUUxaaiqqpFexYPeCh.jpg,"[878, 53, 27]",532710,en,Firestarter,"For more than a decade, parents Andy and Vicky have been on the run, desperate to hide their daughter Charlie from a shadowy federal agency that wants to harness her unprecedented gift for creating fire into a weapon of mass destruction. Andy has taught Charlie how to defuse her power, which is triggered by anger or pain. But as Charlie turns 11, the fire becomes harder and harder to control. After an incident reveals the family's location, a mysterious operative is deployed to hunt down the family and seize Charlie once and for all. Charlie has other plans.",19.844,/2MTGip0nfahQ1jPQCZSfCsPBZes.jpg,2022-05-12,Firestarter,False,5.8,435
100,False,/ba3oFhz6DkzSjVXsr50AGRMkfh8.jpg,"[35, 10749]",810171,en,The Valet,"World famous movie star Olivia faces a PR disaster when a paparazzi snaps a photo of her with her married lover, Vincent. The hard-working valet Antonio accidentally appears in the same photo and is enlisted to pose as Olivia’s new boyfriend as a cover-up. This ruse with Olivia thrusts Antonio into the spotlight and unexpected chaos.",37.97,/q7FmdJHKMLIC4XgWfcFRIu2iVdL.jpg,2022-05-11,The Valet,False,7.7,402
101,False,/3FJ53wbpjSAGY98KYiHJ4DQccDr.jpg,[35],800937,en,Senior Year,A thirty-seven-year-old woman wakes up from a twenty-year coma and returns to the high school where she was once a popular cheerleader to finish her senior year and become prom queen. The main plot is the empowerment of LGBTQ rights and progress through the years.,28.67,/6UqbcDQhCYpxboK58Z0eVfdeHcT.jpg,2022-05-11,Senior Year,False,5.9,546
102,False,/r8B1OWzvrXmi2n61eovLXqIlfV3.jpg,"[10749, 18]",778106,en,Along for the Ride,"The summer before college, Auden meets the mysterious Eli, a fellow insomniac. While the seaside town of Colby sleeps, the two embark on nightly quests to help Auden experience the fun, carefree teen life she never knew she wanted.",24.538,/d5spmLeGR9kxBRQ6qxCFad1ljvT.jpg,2022-05-04,Along for the Ride,False,6.8,249
103,False,/wcKFYIiVDvRURrzglV9kGu7fpfY.jpg,"[14, 28, 12]",453395,en,Doctor Strange in the Multiverse of Madness,"Doctor Strange, with the help of mystical allies both old and new, traverses the mind-bending and dangerous alternate realities of the Multiverse to confront a mysterious new adversary.",290.99,/9Gtg2DzBhmYamXBS1hKAhiwbBKS.jpg,2022-05-04,Doctor Strange in the Multiverse of Madness,False,7.4,6516
104,False,/vrNKZrPscucCO5SnHEpp5DZ7QWx.jpg,"[35, 10749]",860159,en,Crush,"When an aspiring young artist is forced to join her high school track team, she uses it as an opportunity to pursue the girl she's been harboring a long-time crush on. But she soon finds herself falling for an unexpected teammate and discovers what real love feels like.",34.05,/hayr56csDzCSADaejgrRMVPHyDy.jpg,2022-04-29,Crush,False,7.7,295
105,False,/9zXPnbVpaDfTniLBuc5vgXGfzAP.jpg,"[28, 53, 80]",818397,en,Memory,"Alex, an assassin-for-hire, finds that he's become a target after he refuses to complete a job for a dangerous criminal organization. With the crime syndicate and FBI in hot pursuit, Alex has the skills to stay ahead, except for one thing: he is struggling with severe memory loss, affecting his every move. Alex must question his every action and whom he can ultimately trust.",135.47,/4Q1n3TwieoULnuaztu9aFjqHDTI.jpg,2022-04-28,Memory,False,7.1,1003
106,False,/nBHKT3pm5DmidZd5VS4bD5Hc2S3.jpg,"[18, 10749]",820446,en,Downton Abbey: A New Era,The Crawley family goes on a grand journey to the south of France to uncover the mystery of the dowager countess's newly inherited villa.,23.198,/r5n4CLoIjUcnT3shWDi6MHdJ25a.jpg,2022-04-27,Downton Abbey: A New Era,False,7.2,268
107,False,/n0EVRsbMukklGUESyQRnLrzC3cv.jpg,"[28, 35, 80]",648579,en,The Unbearable Weight of Massive Talent,"Creatively unfulfilled and facing financial ruin, Nick Cage must accept a $1 million offer to attend the birthday of a dangerous superfan. Things take a wildly unexpected turn when Cage is recruited by a CIA operative and forced to live up to his own legend, channeling his most iconic and beloved on-screen characters in order to save himself and his loved ones.",64.295,/aqhLeieyTpTUKPOfZ3jzo2La0Mq.jpg,2022-04-20,The Unbearable Weight of Massive Talent,False,6.8,890
108,False,/iSsSvXsCTfDSOY8wvJWms616w3I.jpg,"[27, 53, 878]",838484,en,Choose or Die,"In pursuit of an unclaimed $125,000 prize, a broke college dropout decides to play an obscure, 1980s survival computer game. But the game curses her, and she’s faced with dangerous choices and reality-warping challenges. After a series of unexpectedly terrifying moments, she realizes she’s no longer playing for the money but for her life.",17.427,/jEYE5BPFd5FuPa1judcjpW6xqKp.jpg,2022-04-15,Choose or Die,False,5.3,544
109,False,/rmhMB6KBxdSYatfiFoas60uF6Fc.jpg,[18],809140,en,Father Stu,"The true-life story of boxer-turned-priest. When an injury ends his amateur boxing career, Stuart Long moves to Los Angeles to find money and fame. While scraping by as a supermarket clerk, he meets Carmen, a Sunday school teacher who seems immune to his bad-boy charm. Determined to win her over, the longtime agnostic starts going to church to impress her. However, a motorcycle accident leaves him wondering if he can use his second chance to help others, leading to the surprising realization that he's meant to be a Catholic priest.",39.939,/pLAeWgqXbTeJ2gQtNvRmdIncYsk.jpg,2022-04-13,Father Stu,False,7.4,350
